question	answer	answer_html	link	name	source	category	country	region	city	lang	last_update
Cosa devo fare in caso di spostamento da Regione a Regione all’interno del territorio nazionale?			http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Che cos'è un Coronavirus?	I Coronavirus sono una vasta famiglia di virus noti per causare malattie che vanno dal comune raffreddore a malattie più gravi come la Sindrome respiratoria mediorientale (MERS) e la Sindrome respiratoria acuta grave (SARS). Sono virus RNA a filamento positivo, con aspetto simile a una corona al microscopio elettronico. La sottofamiglia della famiglia è classificata in quattro generi di coronavirus (CoV): Alpha-, Beta-, Delta-- e . Il genere del è ulteriormente separato in cinque sottogeneri (tra i quali il ). I Coronavirus sono stati identificati a metà degli anni '60 e sono noti per infettare l'uomo ed alcuni animali (inclusi uccelli e mammiferi). Le cellule bersaglio primarie sono quelle epiteliali del tratto respiratorio e gastrointestinale. Ad oggi, sette Coronavirus hanno dimostrato di essere in grado di infettare l'uomo:	"<p>
	I Coronavirus sono una vasta famiglia di virus noti per causare malattie che vanno dal comune raffreddore a malattie più gravi come la Sindrome respiratoria mediorientale (MERS) e la Sindrome respiratoria acuta grave (SARS).
</p> <p>
	Sono virus RNA a filamento positivo, con aspetto simile a una corona al microscopio elettronico. La sottofamiglia <em>Orthocoronavirinae</em> della famiglia <em>Coronaviridae</em> è classificata in quattro generi di coronavirus (CoV): Alpha-, Beta-, Delta-- e <em>Gammacoronavirus</em>. Il genere del <em>betacoronavirus</em> è ulteriormente separato in cinque sottogeneri (tra i quali il <em>Sarbecovirus</em>).
</p> <p>
	I Coronavirus sono stati identificati a metà degli anni '60 e sono noti per infettare l'uomo ed alcuni animali (inclusi uccelli e mammiferi). Le cellule bersaglio primarie sono quelle epiteliali del tratto respiratorio e gastrointestinale.
</p> <p>
	Ad oggi, sette Coronavirus hanno dimostrato di essere in grado di infettare l'uomo:
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Che cos'è un nuovo Coronavirus?	Un nuovo Coronavirus (nCoV) è un nuovo ceppo di coronavirus che non è stato precedentemente mai identificato nell'uomo. In particolare quello denominato SARS-CoV-2 (precedentemente 2019-nCoV), non è mai stato identificato prima di essere segnalato a Wuhan, Cina, a dicembre 2019.	"<p>
	Un nuovo Coronavirus (nCoV) è un nuovo ceppo di coronavirus che non è stato precedentemente mai identificato nell'uomo. In particolare quello denominato SARS-CoV-2 (precedentemente 2019-nCoV), non è mai stato identificato prima di essere segnalato a Wuhan, Cina, a dicembre 2019.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Cosa è il SARS-Cov-2?	"Il virus che causa l'attuale epidemia di coronavirus è stato chiamato ""Sindrome respiratoria acuta grave coronavirus 2"" (SARS-CoV-2). Lo ha comunicato l'  che si occupa della designazione e della denominazione dei virus (ovvero specie, genere, famiglia, ecc.). A indicare il nome un appositamente incaricati di studiare il nuovo ceppo di coronavirus. Secondo questo pool di scienziati il nuovo coronavirus è fratello di quello che ha provocato la Sars (SARS-CoVs), da qui il nome scelto di SARS-CoV-2."	"<p>
	Il virus che causa l'attuale epidemia di coronavirus è stato chiamato ""Sindrome respiratoria acuta grave coronavirus 2"" (SARS-CoV-2). Lo ha comunicato l'<a href=""https://talk.ictvonline.org/"" target=""_blank"">International Committee on Taxonomy of Viruses</a> <a href=""https://talk.ictvonline.org/"">(ICTV)</a> che si occupa della designazione e della denominazione dei virus (ovvero specie, genere, famiglia, ecc.). A indicare il nome un <a href=""https://www.biorxiv.org/content/10.1101/2020.02.07.937862v1.full.pdf"">gruppo di esperti</a> appositamente incaricati di studiare il nuovo ceppo di coronavirus. Secondo questo pool di scienziati il nuovo coronavirus è fratello di quello che ha provocato la Sars (SARS-CoVs), da qui il nome scelto di SARS-CoV-2.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Cosa è la COVID-19?	"La malattia provocata dal nuovo Coronavirus ha un nome: “ ” (dove ""CO"" sta per corona, ""VI"" per virus, ""D"" per disease e ""19"" indica l'anno in cui si è manifestata). Lo ha annunciato, l’11 febbraio 2020, nel briefing con la stampa durante una pausa del Forum straordinario dedicato al virus, il Direttore generale dell’Oms ."	"<p>
	La malattia provocata dal nuovo Coronavirus ha un nome: “<strong>COVID-19</strong>” (dove ""CO"" sta per corona, ""VI"" per virus, ""D"" per disease e ""19"" indica l'anno in cui si è manifestata). Lo ha annunciato, l’11 febbraio 2020, nel briefing con la stampa durante una pausa del Forum straordinario dedicato al virus, il Direttore generale dell’Oms <strong>Tedros Adhanom Ghebreyesus</strong>.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Il nuovo Coronavirus è lo stesso della SARS?	No. il nuovo Coronavirus (ora denominato SARS-CoV-2 e già denominato 2019-nCoV) appartiene alla stessa famiglia di virus della Sindrome Respiratoria Acuta Grave (SARS) ma non è lo stesso virus. Il nuovo Coronavirus, responsabile della malattia respiratoria ora denominata COVID-19, è strettamente correlato al SARS-CoV e si classifica geneticamente all'interno del sottogenere Betacoronavirus Sarbecovirus.	"<p>
	No. il nuovo Coronavirus (ora denominato SARS-CoV-2 e già denominato 2019-nCoV) appartiene alla stessa famiglia di virus della Sindrome Respiratoria Acuta Grave (SARS) ma non è lo stesso virus.
</p> <p>
	Il nuovo Coronavirus, responsabile della malattia respiratoria ora denominata COVID-19, è strettamente correlato al SARS-CoV e si classifica geneticamente all'interno del sottogenere Betacoronavirus Sarbecovirus.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Perché è comparso il nuovo coronavirus? (FONTE: ISS)			http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Dove posso trovare altre informazioni sul nuovo Coronavirus?	Il Ministero della Salute ha realizzato un sito dedicato: . Le Regioni hanno attivato locali per rispondere alle numerose richieste di cittadini. Le informazioni utili per le Istituzioni scolastiche, le Università, le Istituzioni dell'Alta formazione Artistica, Musicale e Coreutica sul Coronavirus puoi trovarle nella del Ministero dell'Università e Ricerca e del Ministero dell'Istruzione. I dati sull'andamento dell'epidemia sono pubblicati nelle pagine dedicate e del sito del Ministero. Chi viaggia all'estero può trovare utili informazioni nel sito del Ministero degli Affari Esteri Altre informazioni sul sito Epicentro dell'Istituto superiore di sanità - .  	"<p>
	Il Ministero della Salute ha realizzato un sito dedicato: <a href=""http://www.salute.gov.it/nuovocoronavirus"">www.salute.gov.it/nuovocoronavirus</a>.
</p> <p>
	Le Regioni hanno attivato <a href=""http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&amp;id=5364&amp;area=nuovoCoronavirus&amp;menu=vuoto"">numeri verdi</a> locali per rispondere alle numerose richieste di cittadini.
</p> <p>
	Le informazioni utili per le Istituzioni scolastiche, le Università, le Istituzioni dell'Alta formazione Artistica, Musicale e Coreutica sul Coronavirus puoi trovarle nella <a href=""https://www.istruzione.it/coronavirus/index.shtml"">pagina dedicata</a> del Ministero dell'Università e Ricerca e del Ministero dell'Istruzione.
</p> <p>
	I dati sull'andamento dell'epidemia sono pubblicati nelle pagine dedicate <a href=""http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&amp;id=5351&amp;area=nuovoCoronavirus&amp;menu=vuoto"">Situazione in Italia</a>  e <a href=""http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&amp;id=5338&amp;area=nuovoCoronavirus&amp;menu=vuoto"">Situazione nel mondo</a> del sito del Ministero.
</p> <p>
	Chi viaggia all'estero può trovare utili informazioni nel sito <a href=""http://www.viaggiaresicuri.it/"" title=""apre sito esterno Viaggiare sicuri"">Viaggiare sicuri</a> del Ministero degli Affari Esteri
</p> <p>
	Altre informazioni sul sito Epicentro dell'Istituto superiore di sanità - <a href=""https://www.epicentro.iss.it/coronavirus/"" title=""apresi epicentro"">Epicentro</a>.
</p> <p>
	<br>
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Quali sono i sintomi di una persona con COVID-19?	I sintomi più comuni di sono febbre, stanchezza e tosse secca. Alcuni pazienti possono presentare indolenzimento e dolori muscolari, congestione nasale, naso che cola, mal di gola o diarrea. Questi sintomi sono generalmente lievi e iniziano gradualmente. Nei casi più gravi, l'infezione può causare polmonite, sindrome respiratoria acuta grave, insufficienza renale e persino la morte.	"<p>
	I sintomi più comuni di sono febbre, stanchezza e tosse secca. Alcuni pazienti possono presentare indolenzimento e dolori muscolari, congestione nasale, naso che cola, mal di gola o diarrea. Questi sintomi sono generalmente lievi e iniziano gradualmente. Nei casi più gravi, l'infezione può causare polmonite, sindrome respiratoria acuta grave, insufficienza renale e persino la morte.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Quanto è pericoloso il nuovo virus?	Alcune persone si infettano ma non sviluppano alcun sintomo. Generalmente i sintomi sono lievi, soprattutto nei bambini e nei giovani adulti, e a inizio lento. Circa 1 su 5 persone con COVID-19 si ammala gravemente e presenta difficoltà respiratorie, richiedendo il ricovero in ambiente ospedaliero.	"<p>
	Alcune persone si infettano ma non sviluppano alcun sintomo. Generalmente i sintomi sono lievi, soprattutto nei bambini e nei giovani adulti, e a inizio lento. Circa 1 su 5 persone con COVID-19 si ammala gravemente e presenta difficoltà respiratorie, richiedendo il ricovero in ambiente ospedaliero.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Quali sono le persone più a rischio di presentare forme gravi di malattia?	Le persone anziane e quelle con patologie sottostanti, quali ipertensione, problemi cardiaci o diabete e i pazienti immunodepressi (per patologia congenita o acquisita o in trattamento con farmaci immunosoppressori, trapiantati) hanno maggiori probabilità di sviluppare forme gravi di malattia.	"<p>
	Le persone anziane e quelle con patologie sottostanti, quali ipertensione, problemi cardiaci o diabete e i pazienti immunodepressi (per patologia congenita o acquisita o in trattamento con farmaci immunosoppressori, trapiantati) hanno maggiori probabilità di sviluppare forme gravi di malattia.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Quali sono le raccomandazioni per le persone più a rischio?	Il raccomanda a tutte le persone anziane o affette da una o più patologie croniche o con stati di immunodepressione congenita o acquisita, di evitare di uscire dalla propria abitazione o dimora fuori dai casi di stretta necessità e di evitare comunque luoghi affollati nei quali non sia possibile mantenere la distanza di sicurezza interpersonale di almeno un metro. Qualora per motivi di necessità si sia costretti ad uscire dalla propria abitazione portare con sè il modulo di autodichiarazione per gli spostamenti del Viminale. Scarica:  	"<p>
	Il <a href=""http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73594"" title=""apre sito trovanorme salute"">DPCM dell'8 marzo 2020</a> raccomanda a tutte le persone anziane o affette da una o più patologie croniche o con stati di immunodepressione congenita o acquisita, di evitare di uscire dalla propria abitazione o dimora fuori dai casi di stretta necessità e di evitare comunque luoghi affollati nei quali non sia possibile mantenere la distanza di sicurezza interpersonale di almeno un metro.
</p> <p>
	Qualora per motivi di necessità si sia costretti ad uscire dalla propria abitazione portare con sè il modulo di autodichiarazione per gli spostamenti del Viminale.
</p> <p>
	Scarica:
</p> <p>
	<a href=""https://www.interno.gov.it/sites/default/files/allegati/modulo-autodichiarazione-17.3.2020.pdf"" onclick=""window.open(this.href); return false;"" title=""apre pdf"">Modulo autodichiarazione spostamenti del Viminale</a>
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Quanto dura il periodo di incubazione?	Il periodo di incubazione rappresenta il periodo di tempo che intercorre fra il contagio e lo sviluppo dei sintomi clinici. Si stima attualmente che vari fra 2 e 11 giorni, fino ad un massimo di 14 giorni.	"<p>
	Il periodo di incubazione rappresenta il periodo di tempo che intercorre fra il contagio e lo sviluppo dei sintomi clinici. Si stima attualmente che vari fra 2 e 11 giorni, fino ad un massimo di 14 giorni.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
