question	answer	answer_html	link	name	source	category	country	region	city	lang	last_update
Should travelers wear facemasks?	"CDC does not recommend that healthy travelers wear facemasks to protect themselves from COVID-19. Wear a facemask only if you are sick and coughing or sneezing to help prevent the spread of respiratory viruses to others. If you are well, it is more important to take these important steps to reduce your chances of getting sick: 
 
 Avoid close contact with people who are sick. 
 Avoid touching your eyes, nose, and mouth with unwashed hands. 
 To the extent possible, avoid touching high-touch surfaces in public places – elevator buttons, door handles, handrails, handshaking with people, etc.
 
 Use a tissue or your sleeve to cover your hand or finger if you must touch something. 
 Wash your hands after touching surfaces in public places. 
 
 
 Clean AND disinfect  frequently touched surfaces  daily . This includes tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks. 
 Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom; before eating; and after blowing your nose, coughing, or sneezing. 
 If soap and water aren’t available, use a hand sanitizer that contains at least 60% alcohol."	"<div class=""card-body""><p>CDC does not recommend that healthy travelers wear facemasks to protect themselves from COVID-19. Wear a facemask only if you are sick and coughing or sneezing to help prevent the spread of respiratory viruses to others. If you are well, it is more important to take these important steps to reduce your chances of getting sick:</p>
<ul>
<li>Avoid close contact with people who are sick.</li>
<li>Avoid touching your eyes, nose, and mouth with unwashed hands.</li>
<li>To the extent possible, avoid touching high-touch surfaces in public places – elevator buttons, door handles, handrails, handshaking with people, etc.
<ul>
<li>Use a tissue or your sleeve to cover your hand or finger if you must touch something.</li>
<li>Wash your hands after touching surfaces in public places.</li>
</ul>
</li>
<li><strong>Clean AND disinfect <a href=""/coronavirus/2019-ncov/prepare/cleaning-disinfection.html"">frequently touched surfaces</a></strong><strong> daily</strong>. This includes tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.</li>
<li>Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom; before eating; and after blowing your nose, coughing, or sneezing.</li>
<li>If soap and water aren’t available, use a hand sanitizer that contains at least 60% alcohol.</li>
</ul>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Air or Cruise Travel	USA			en	2020/03/27
What can I expect when departing other countries?	Be aware that some countries are conducting exit screening for all passengers leaving their country. Before being permitted to board a departing flight, you may have your temperature taken and be asked questions about your travel history and health.	"<div class=""card-body""><p>Be aware that some countries are conducting exit screening for all passengers leaving their country. Before being permitted to board a departing flight, you may have your temperature taken and be asked questions about your travel history and health.</p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Returning from Travel	USA			en	2020/03/27
What can I expect when arriving to the United States?	"At this time, travel restrictions and entry screening apply only to travelers arriving from some countries or regions with widespread ongoing spread of COVID-19. [Note: US policies are subject to change as the COVID-19 pandemic evolves.] 
 If you are coming from a country or a region with  widespread ongoing transmission  of COVID-19 ( Level 3 Travel Heath Notice ) ,  you may be screened when you arrive in the United States. After you arrive home, take the following steps to protect yourself and others: 
 
 Stay at home . Do not go to work, school, or leave your house for 14 days. Discuss your work situation with your employer. 
 Monitor your health . Take your temperature with a thermometer two times a day and monitor for fever (temperature of 100.4°F/38°C or higher). Also watch for cough or trouble breathing. 
 Practice social distancing within the home . Avoid contact with other people for the 14 days. Maintain distance (approximately 6 feet or 2 meters) from family members and others in the home when possible. 
 
 If you are coming from a country with  ongoing community transmission  ( Level 2 Travel Health Notice ), take the following steps to protect yourself and others: 
 
 Monitor your health . Take your temperature with a thermometer two times a day and monitor for fever (temperature of 100.4°F/38°C or higher). Also watch for cough or trouble breathing. 
 Practice social distancing . Stay out of crowded places and avoid group gatherings. Do not go to shopping malls or to the movies. Keep your distance from others (about 6 feet or 2 meters). Do not take public transportation, taxis, or ride-shares during this time. 
 
 Check CDC’s  Coronavirus Disease 2019 (COVID-19) Travel webpage  to find the current travel health notice level for your international travel."	"<div class=""card-body""><p>At this time, travel restrictions and entry screening apply only to travelers arriving from some countries or regions with widespread ongoing spread of COVID-19. [Note: US policies are subject to change as the COVID-19 pandemic evolves.]</p>
<p>If you are coming from a country or a region with <a href=""/coronavirus/2019-ncov/travelers/index.html#transmission"">widespread ongoing transmission</a> of COVID-19 (<a href=""https://wwwnc.cdc.gov/travel/notices"">Level 3 Travel Heath Notice</a>)<strong>,</strong> you may be screened when you arrive in the United States. After you arrive home, take the following steps to protect yourself and others:</p>
<ol>
<li><strong>Stay at home</strong>. Do not go to work, school, or leave your house for 14 days. Discuss your work situation with your employer.</li>
<li><strong>Monitor your health</strong>. Take your temperature with a thermometer two times a day and monitor for fever (temperature of 100.4°F/38°C or higher). Also watch for cough or trouble breathing.</li>
<li><strong>Practice social distancing within the home</strong>. Avoid contact with other people for the 14 days. Maintain distance (approximately 6 feet or 2 meters) from family members and others in the home when possible.</li>
</ol>
<p>If you are coming from a country with <a href=""/coronavirus/2019-ncov/travelers/index.html#transmission"">ongoing community transmission</a> (<a href=""https://wwwnc.cdc.gov/travel/notices/alert/coronavirus-global"">Level 2 Travel Health Notice</a>), take the following steps to protect yourself and others:</p>
<ol>
<li><strong>Monitor your health</strong>. Take your temperature with a thermometer two times a day and monitor for fever (temperature of 100.4°F/38°C or higher). Also watch for cough or trouble breathing.</li>
<li><strong>Practice social distancing</strong>. Stay out of crowded places and avoid group gatherings. Do not go to shopping malls or to the movies. Keep your distance from others (about 6 feet or 2 meters). Do not take public transportation, taxis, or ride-shares during this time.</li>
</ol>
<p>Check CDC’s <a href=""/coronavirus/2019-ncov/travelers/index.html"">Coronavirus Disease 2019 (COVID-19) Travel webpage</a> to find the current travel health notice level for your international travel.</p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Returning from Travel	USA			en	2020/03/27
How are travelers from countries with a level 3 travel health notice being screened when they enter the United States?	At this time, American citizens, lawful permanent residents, and family members (as specified in the  Presidential Proclamation external icon ) who have been in countries with  widespread ongoing transmission  (Level 3 Travel Health Notice) within 14 days prior to their arrival will be allowed to enter the United States. Flights arriving from countries or regions with widespread ongoing transmission are being directed to certain airports in the United States. At these airports, travelers may be screened for COVID-19 symptoms such as fever, cough or trouble breathing, and they may be asked questions about their travel and possible exposure to COVID-19. Travelers without symptoms will be told to stay home, monitor their health, and practice social distancing. Travelers with symptoms will be directed to receive additional screening and health care.	"<div class=""card-body""><p>At this time, American citizens, lawful permanent residents, and family members (as specified in the <a href=""https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-certain-additional-persons-pose-risk-transmitting-2019-novel-coronavirus/"" class=""tp-link-policy"" data-domain-ext=""gov"">Presidential Proclamation<span class=""sr-only"">external icon</span><span class=""fi cdc-icon-external x16 fill-external"" aria-hidden=""true""></span></a>) who have been in countries with <a href=""/coronavirus/2019-ncov/travelers/index.html#transmission"">widespread ongoing transmission</a> (Level 3 Travel Health Notice) within 14 days prior to their arrival will be allowed to enter the United States. Flights arriving from countries or regions with widespread ongoing transmission are being directed to certain airports in the United States. At these airports, travelers may be screened for COVID-19 symptoms such as fever, cough or trouble breathing, and they may be asked questions about their travel and possible exposure to COVID-19. Travelers without symptoms will be told to stay home, monitor their health, and practice social distancing. Travelers with symptoms will be directed to receive additional screening and health care.</p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Returning from Travel	USA			en	2020/03/27
After arriving from a country with a level 3 travel health notice related to COVID-19 when can I return to work?	Currently, all travelers arriving from a country or region with  widespread ongoing transmission  of COVID-19 (Level 3 Travel Health Notice) should stay home for 14 days after their arrival. At home, they are expected to monitor their health and practice social distancing. To protect the health of others, these travelers should not to go to work, or school, or otherwise leave their home for any reason (other than  seeking health care ) for 14 days.	"<div class=""card-body""><p>Currently, all travelers arriving from a country or region with <a href=""/coronavirus/2019-ncov/travelers/index.html#transmission"">widespread ongoing transmission</a> of COVID-19 (Level 3 Travel Health Notice) should stay home for 14 days after their arrival. At home, they are expected to monitor their health and practice social distancing. To protect the health of others, these travelers should not to go to work, or school, or otherwise leave their home for any reason (other than <a href=""/coronavirus/2019-ncov/if-you-are-sick/steps-when-sick.html"">seeking health care</a>) for 14 days.</p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Returning from Travel	USA			en	2020/03/27
What if I recently traveled and get sick?	See CDC’s website about what to do if you get sick .	"<div class=""card-body""><p><a href=""/coronavirus/2019-ncov/if-you-are-sick/steps-when-sick.html"">See CDC’s website about what to do if you get sick</a>.</p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Returning from Travel	USA			en	2020/03/27
What is the risk to pregnant women of getting COVID-19? Is it easier for pregnant women to become ill with the disease? If they become infected, will they be more sick than other people?	We do not currently know if pregnant women have a greater chance of getting sick from COVID-19 than the general public nor whether they are more likely to have serious illness as a result. Pregnant women experience changes in their bodies that may increase their risk of some infections. With viruses from the same family as COVID-19, and other viral respiratory infections, such as influenza, women have had a higher risk of developing severe illness. It is always important for pregnant women to protect themselves from illnesses.	<p>We do not currently know if pregnant women have a greater chance of getting sick from COVID-19 than the general public nor whether they are more likely to have serious illness as a result. Pregnant women experience changes in their bodies that may increase their risk of some infections. With viruses from the same family as COVID-19, and other viral respiratory infections, such as influenza, women have had a higher risk of developing severe illness. It is always important for pregnant women to protect themselves from illnesses.</p>	https://www.cdc.gov/coronavirus/2019-ncov/prepare/pregnancy-breastfeeding.html	Pregnancy & Breastfeeding	Center for Disease Control and Prevention (CDC)	Children	USA			en	2020/03/27
How can pregnant women protect themselves from getting COVID-19?	"Pregnant women should do the same things as the general public to avoid infection. You can help stop the spread of COVID-19 by taking these actions: 
 Cover your cough (using your elbow is a good technique) 
 Avoid people who are sick 
 Clean your hands often using soap and water or alcohol-based hand sanitizer 
 Cover your cough (using your elbow is a good technique) Avoid people who are sick Clean your hands often using soap and water or alcohol-based hand sanitizer You can find additional information on preventing COVID-19 disease at CDC’s ( Prevention for 2019 Novel Coronavirus )."	"<p>Pregnant women should do the same things as the general public to avoid infection. You can help stop the spread of COVID-19 by taking these actions:</p><ul>
<li>Cover your cough (using your elbow is a good technique)</li>
<li>Avoid people who are sick</li>
<li>Clean your hands often using soap and water or alcohol-based hand sanitizer</li>
</ul><li>Cover your cough (using your elbow is a good technique)</li><li>Avoid people who are sick</li><li>Clean your hands often using soap and water or alcohol-based hand sanitizer</li><p>You can find additional information on preventing COVID-19 disease at CDC’s (<a href=""/coronavirus/2019-ncov/prepare/prevention.html"">Prevention for 2019 Novel Coronavirus</a>).</p>"	https://www.cdc.gov/coronavirus/2019-ncov/prepare/pregnancy-breastfeeding.html	Pregnancy & Breastfeeding	Center for Disease Control and Prevention (CDC)	Children	USA			en	2020/03/27
Can COVID-19 cause problems for a pregnancy?	We do not know at this time if COVID-19 would cause problems during pregnancy or affect the health of the baby after birth.	<p>We do not know at this time if COVID-19 would cause problems during pregnancy or affect the health of the baby after birth.</p>	https://www.cdc.gov/coronavirus/2019-ncov/prepare/pregnancy-breastfeeding.html	Pregnancy & Breastfeeding	Center for Disease Control and Prevention (CDC)	Children	USA			en	2020/03/27
Can COVID-19 be passed from a pregnant woman to the fetus or newborn?	We still do not know if a pregnant woman with COVID-19 can pass the virus that causes COVID-19 to her fetus or baby during pregnancy or delivery. No infants born to mothers with COVID-19 have tested positive for the COVID-19 virus. In these cases, which are a small number, the virus was not found in samples of amniotic fluid or breastmilk.	<p>We still do not know if a pregnant woman with COVID-19 can pass the virus that causes COVID-19 to her fetus or baby during pregnancy or delivery. No infants born to mothers with COVID-19 have tested positive for the COVID-19 virus. In these cases, which are a small number, the virus was not found in samples of amniotic fluid or breastmilk.</p>	https://www.cdc.gov/coronavirus/2019-ncov/prepare/pregnancy-breastfeeding.html	Pregnancy & Breastfeeding	Center for Disease Control and Prevention (CDC)	Children	USA			en	2020/03/27
If a pregnant woman has COVID-19 during pregnancy, will it hurt the baby?	We do not know at this time what if any risk is posed to infants of a pregnant woman who has COVID-19. There have been a small number of reported problems with pregnancy or delivery (e.g. preterm birth) in babies born to mothers who tested positive for COVID-19 during their pregnancy. However, it is not clear that these outcomes were related to maternal infection.	<p>We do not know at this time what if any risk is posed to infants of a pregnant woman who has COVID-19. There have been a small number of reported problems with pregnancy or delivery (e.g. preterm birth) in babies born to mothers who tested positive for COVID-19 during their pregnancy. However, it is not clear that these outcomes were related to maternal infection.</p>	https://www.cdc.gov/coronavirus/2019-ncov/prepare/pregnancy-breastfeeding.html	Pregnancy & Breastfeeding	Center for Disease Control and Prevention (CDC)	Children	USA			en	2020/03/27
Bin ich als Schwangere durch das Coronavirus gefährdeter als andere Frauen?	Zum gegenwärtigen Zeitpunkt gibt es international keinen Hinweis, dass Schwangere durch das neuartige Coronavirus (SARS-CoV-2) gefährdeter sind als die allgemeine Bevölkerung. Es wird erwartet, dass die große Mehrheit der schwangeren Frauen nur leichte oder mittelschwere Symptome, ähnlich einer Erkältung beziehungsweise Grippe aufweist. Schwerwiegendere Symptome wie Lungenentzündung scheinen bei älteren Menschen, Menschen mit geschwächtem Immunsystem oder Langzeiterkrankungen häufiger zu sein. Wenn eine bereits vor der Schwangerschaft bestehende Herz- oder Lungenerkrankung vorliegt, könnten eher Komplikationen bei Atemwegsinfektion wie bei der Coronavirusinfektion eintreten.	<p>Zum gegenwärtigen Zeitpunkt gibt es international keinen Hinweis, dass Schwangere durch das neuartige Coronavirus (SARS-CoV-2) gefährdeter sind als die allgemeine Bevölkerung. Es wird erwartet, dass die große Mehrheit der schwangeren Frauen nur leichte oder mittelschwere Symptome, ähnlich einer Erkältung beziehungsweise Grippe aufweist. Schwerwiegendere Symptome wie Lungenentzündung scheinen bei älteren Menschen, Menschen mit geschwächtem Immunsystem oder Langzeiterkrankungen häufiger zu sein. Wenn eine bereits vor der Schwangerschaft bestehende Herz- oder Lungenerkrankung vorliegt, könnten eher Komplikationen bei Atemwegsinfektion wie bei der Coronavirusinfektion eintreten.</p>	https://www.bvf.de/aktuelles/fachliche-meldungen/artikel/news/faq-fuer-schwangere-frauen-und-ihre-familien-zu-spezifischen-risiken-der-covid-19-virusinfektion/	FAQ für schwangere Frauen und ihre Familien zu spezifischen Risiken der COVID-19-Virusinfektion	Berufsverband der Frauenärzte (BvF)		DE			de	2020/03/27
Welche Auswirkungen hat das Coronavirus auf mein Baby, wenn bei mir eine Infektion diagnostiziert wird?	Da es sich um ein sehr neues Virus handelt, fangen wir gerade erst an, etwas darüber zu lernen. Es gibt keine Hinweise auf ein erhöhtes Risiko für Fehlgeburten. Es gibt auch keine Hinweise darauf, dass das Virus während der Schwangerschaft auf das Baby übertragen werden kann (dies wird als vertikale Übertragung bezeichnet). Es wird daher als unwahrscheinlich angesehen, dass das Virus beim Fetus zu Anomalien führt. Bislang wurde international nur über 20 Schwangerschaften berichtet, alle fanden in China statt. In keinem Fall war ein Neugeborenes infiziert. Es wurden keine Auffälligkeiten bei Mutter und Kind berichtet.	<p>Da es sich um ein sehr neues Virus handelt, fangen wir gerade erst an, etwas darüber zu lernen. Es gibt keine Hinweise auf ein erhöhtes Risiko für Fehlgeburten. Es gibt auch keine Hinweise darauf, dass das Virus während der Schwangerschaft auf das Baby übertragen werden kann (dies wird als vertikale Übertragung bezeichnet). Es wird daher als unwahrscheinlich angesehen, dass das Virus beim Fetus zu Anomalien führt. Bislang wurde international nur über 20 Schwangerschaften berichtet, alle fanden in China statt. In keinem Fall war ein Neugeborenes infiziert. Es wurden keine Auffälligkeiten bei Mutter und Kind berichtet.</p>	https://www.bvf.de/aktuelles/fachliche-meldungen/artikel/news/faq-fuer-schwangere-frauen-und-ihre-familien-zu-spezifischen-risiken-der-covid-19-virusinfektion/	FAQ für schwangere Frauen und ihre Familien zu spezifischen Risiken der COVID-19-Virusinfektion	Berufsverband der Frauenärzte (BvF)		DE			de	2020/03/27
